Date,Price,Open,High,Low,Vol.,Change %
"Jul 23, 2018","2,005.65","2,001.00","2,009.95","1,986.00",2.09M,0.45%
"Jul 24, 2018","1,999.00","2,015.00","2,015.00","1,984.15",2.04M,-0.33%
"Jul 25, 2018","1,981.50","2,001.90","2,002.00","1,968.40",1.54M,-0.88%
"Jul 26, 2018","1,964.70","1,974.95","1,985.00","1,955.10",3.50M,-0.85%
"Jul 27, 2018","1,943.75","1,960.85","1,964.65","1,940.30",2.03M,-1.07%
"Jul 30, 2018","1,944.60","1,943.00","1,954.70","1,931.55",1.58M,0.04%
"Jul 31, 2018","1,940.20","1,942.00","1,947.00","1,928.00",2.20M,-0.23%
"Aug 01, 2018","1,976.50","1,949.95","1,981.55","1,949.80",2.43M,1.87%
"Aug 02, 2018","1,948.40","1,980.00","1,985.00","1,945.00",1.51M,-1.42%
"Aug 03, 2018","1,979.45","1,956.50","1,982.05","1,956.50",1.51M,1.59%
"Aug 06, 2018","1,975.55","1,997.00","1,998.95","1,972.25",1.53M,-0.20%
"Aug 07, 2018","1,967.35","1,978.20","1,979.15","1,960.50",1.35M,-0.42%
"Aug 08, 2018","1,974.00","1,972.00","1,978.30","1,962.00",1.32M,0.34%
"Aug 09, 2018","1,974.35","1,980.00","1,980.80","1,966.00",2.06M,0.02%
"Aug 10, 2018","1,993.10","1,980.95","1,996.50","1,972.05",2.78M,0.95%
"Aug 13, 2018","2,000.15","1,997.80","2,004.25","1,990.00",3.56M,0.35%
"Aug 14, 2018","2,003.55","1,992.00","2,024.60","1,982.40",3.31M,0.17%
"Aug 16, 2018","2,008.50","2,000.30","2,020.05","1,995.00",2.15M,0.25%
"Aug 17, 2018","2,012.75","2,013.85","2,021.90","2,004.00",1.21M,0.21%
"Aug 20, 2018","2,009.95","2,024.00","2,024.00","2,003.70",1.59M,-0.14%
"Aug 21, 2018","2,017.65","2,010.15","2,024.00","2,004.00",1.38M,0.38%
"Aug 23, 2018","2,035.10","2,022.80","2,038.00","2,020.30",3.05M,0.86%
"Aug 24, 2018","2,043.00","2,035.10","2,046.00","2,031.00",1.57M,0.39%
"Aug 27, 2018","2,050.90","2,043.00","2,059.00","2,035.00",1.53M,0.39%
"Aug 28, 2018","2,069.20","2,055.00","2,072.00","2,052.00",1.99M,0.89%
"Aug 29, 2018","2,072.00","2,072.50","2,076.60","2,045.60",1.53M,0.14%
"Aug 30, 2018","2,082.40","2,068.00","2,085.00","2,065.50",2.41M,0.50%
"Aug 31, 2018","2,078.40","2,082.30","2,092.00","2,074.00",2.50M,-0.19%
"Sep 03, 2018","2,052.90","2,084.80","2,090.00","2,048.40",1.44M,-1.23%
"Sep 04, 2018","2,098.90","2,059.80","2,104.75","2,056.95",4.42M,2.24%
"Sep 05, 2018","2,079.25","2,100.00","2,107.25","2,075.05",1.68M,-0.94%
"Sep 06, 2018","2,075.30","2,075.00","2,081.50","2,060.30",2.24M,-0.19%
"Sep 07, 2018","2,079.85","2,079.30","2,084.00","2,065.40",1.31M,0.22%
"Sep 10, 2018","2,080.75","2,084.40","2,093.40","2,074.25",1.53M,0.04%
"Sep 11, 2018","2,046.25","2,089.00","2,089.00","2,042.20",3.68M,-1.66%
"Sep 12, 2018","2,043.95","2,052.35","2,068.90","2,040.00",2.31M,-0.11%
"Sep 14, 2018","2,065.40","2,044.00","2,071.55","2,018.15",3.64M,1.05%
"Sep 17, 2018","2,074.15","2,070.00","2,077.80","2,054.55",1.03M,0.42%
"Sep 18, 2018","2,070.75","2,073.00","2,078.80","2,057.60",1.46M,-0.16%
"Sep 19, 2018","2,077.90","2,071.90","2,089.00","2,066.85",1.30M,0.35%
"Sep 21, 2018","2,103.15","2,077.00","2,121.00","2,050.15",4.51M,1.22%
"Sep 24, 2018","2,198.45","2,115.00","2,210.50","2,098.15",3.03M,4.53%
"Sep 25, 2018","2,183.20","2,204.90","2,211.90","2,153.80",2.87M,-0.69%
"Sep 26, 2018","2,142.15","2,187.00","2,199.00","2,135.10",1.97M,-1.88%
"Sep 27, 2018","2,188.85","2,141.90","2,209.70","2,135.80",3.31M,2.18%
"Sep 28, 2018","2,183.70","2,178.00","2,190.00","2,158.85",2.90M,-0.24%
"Oct 01, 2018","2,255.55","2,190.90","2,275.95","2,190.35",3.77M,3.29%
"Oct 03, 2018","2,162.85","2,250.30","2,255.00","2,155.60",3.90M,-4.11%
"Oct 04, 2018","2,064.80","2,156.60","2,156.65","2,056.35",4.76M,-4.53%
"Oct 05, 2018","2,102.65","2,050.00","2,120.00","2,020.90",3.42M,1.83%
"Oct 08, 2018","2,077.55","2,102.65","2,122.20","2,048.15",2.01M,-1.19%
"Oct 09, 2018","2,091.80","2,080.35","2,107.65","2,053.20",1.87M,0.69%
"Oct 10, 2018","2,043.60","2,100.00","2,105.95","2,029.00",2.75M,-2.30%
"Oct 11, 2018","1,979.95","1,985.00","2,013.00","1,941.00",4.70M,-3.11%
"Oct 12, 2018","1,918.30","1,978.00","1,978.00","1,903.00",9.37M,-3.11%
"Oct 15, 2018","1,949.50","1,940.00","1,955.55","1,920.00",2.64M,1.63%
"Oct 16, 2018","1,962.30","1,958.00","1,971.90","1,935.00",2.82M,0.66%
"Oct 17, 2018","1,929.40","1,970.00","1,989.00","1,920.00",2.78M,-1.68%
"Oct 19, 2018","1,913.20","1,929.00","1,929.00","1,870.05",3.43M,-0.84%
"Oct 22, 2018","1,903.00","1,914.00","1,916.00","1,886.95",1.78M,-0.53%
"Oct 23, 2018","1,843.65","1,888.00","1,898.00","1,837.00",2.75M,-3.12%
"Oct 24, 2018","1,848.50","1,852.05","1,874.00","1,811.10",2.74M,0.26%
"Oct 25, 2018","1,853.00","1,844.00","1,876.90","1,825.05",2.51M,0.24%
"Oct 26, 2018","1,799.10","1,853.90","1,853.90","1,791.10",2.29M,-2.91%
"Oct 29, 2018","1,871.00","1,808.70","1,877.95","1,784.35",2.61M,4.00%
"Oct 30, 2018","1,894.80","1,867.00","1,909.40","1,845.00",2.40M,1.27%
"Oct 31, 2018","1,938.15","1,900.00","1,943.90","1,875.45",2.77M,2.29%
"Nov 01, 2018","1,935.75","1,943.65","1,944.35","1,901.30",2.77M,-0.12%
"Nov 02, 2018","1,913.45","1,934.20","1,954.60","1,905.00",1.82M,-1.15%
"Nov 05, 2018","1,890.85","1,910.00","1,927.35","1,884.75",1.71M,-1.18%
"Nov 06, 2018","1,932.70","1,894.00","1,937.50","1,891.00",1.40M,2.21%
"Nov 07, 2018","1,942.15","1,940.00","1,949.00","1,937.00",144.53K,0.49%
"Nov 09, 2018","1,909.20","1,961.00","1,961.95","1,905.00",2.57M,-1.70%
"Nov 12, 2018","1,914.85","1,908.50","1,946.10","1,908.50",2.55M,0.30%
"Nov 13, 2018","1,934.95","1,915.00","1,939.00","1,903.00",1.42M,1.05%
"Nov 14, 2018","1,880.65","1,925.00","1,929.90","1,870.00",2.42M,-2.81%
"Nov 15, 2018","1,872.85","1,864.00","1,899.00","1,857.60",1.83M,-0.41%
"Nov 16, 2018","1,886.60","1,889.00","1,899.80","1,870.25",1.83M,0.73%
"Nov 19, 2018","1,902.45","1,899.00","1,907.35","1,864.30",1.74M,0.84%
"Nov 20, 2018","1,878.25","1,902.00","1,902.00","1,874.20",1.19M,-1.27%
"Nov 21, 2018","1,812.00","1,871.00","1,871.05","1,798.55",3.84M,-3.53%
"Nov 22, 2018","1,812.55","1,820.00","1,847.60","1,809.95",3.19M,0.03%
"Nov 26, 2018","1,846.10","1,819.00","1,860.00","1,784.50",4.33M,1.85%
"Nov 27, 2018","1,890.25","1,854.00","1,897.90","1,835.35",3.34M,2.39%
"Nov 28, 2018","1,983.90","1,889.00","1,989.00","1,882.50",5.31M,4.95%
"Nov 29, 2018","1,960.55","1,997.00","1,997.00","1,942.55",4.04M,-1.18%
"Nov 30, 2018","1,968.25","1,966.00","1,991.00","1,959.85",5.27M,0.39%
"Dec 03, 2018","1,982.40","1,984.00","1,990.00","1,968.30",1.61M,0.72%
"Dec 04, 2018","2,010.85","1,983.00","2,019.40","1,971.00",3.27M,1.44%
"Dec 05, 2018","2,006.75","2,006.00","2,018.00","1,985.00",2.50M,-0.20%
"Dec 06, 2018","1,992.70","1,998.00","2,017.00","1,979.60",2.32M,-0.70%
"Dec 07, 2018","1,995.20","1,985.05","2,003.90","1,973.00",1.68M,0.13%
"Dec 10, 2018","1,975.80","1,975.00","2,011.00","1,960.00",2.01M,-0.97%
"Dec 11, 2018","2,000.00","1,970.00","2,010.00","1,961.00",2.94M,1.22%
"Dec 12, 2018","2,016.80","2,001.10","2,022.00","1,984.95",2.22M,0.84%
"Dec 13, 2018","1,982.60","2,024.00","2,029.70","1,974.50",3.75M,-1.70%
"Dec 14, 2018","1,989.75","1,983.00","1,998.95","1,975.25",2.47M,0.36%
"Dec 17, 2018","1,994.30","1,999.00","2,004.90","1,985.00",1.23M,0.23%
"Dec 18, 2018","1,987.85","1,991.90","2,002.00","1,976.40",1.77M,-0.32%
"Dec 19, 2018","1,968.45","1,984.80","1,984.80","1,960.05",2.50M,-0.98%
"Dec 20, 2018","1,954.05","1,953.80","1,974.90","1,946.00",1.94M,-0.73%
"Dec 21, 2018","1,895.80","1,948.00","1,950.00","1,886.55",3.73M,-2.98%
"Dec 24, 2018","1,918.50","1,905.80","1,938.90","1,905.00",1.86M,1.20%
"Dec 26, 2018","1,889.20","1,921.80","1,921.80","1,870.25",2.45M,-1.53%
"Dec 27, 2018","1,908.95","1,909.00","1,941.70","1,872.10",4.97M,1.05%
"Dec 28, 2018","1,896.05","1,915.00","1,920.00","1,893.00",2.24M,-0.68%
"Dec 31, 2018","1,893.05","1,908.00","1,909.00","1,886.15",1.88M,-0.16%
"Jan 01, 2019","1,902.80","1,896.00","1,910.00","1,885.00",1.09M,0.52%
"Jan 02, 2019","1,923.30","1,905.00","1,934.45","1,900.00",2.10M,1.08%
"Jan 03, 2019","1,899.95","1,919.00","1,944.95","1,893.10",2.61M,-1.21%
"Jan 04, 2019","1,876.85","1,900.00","1,901.20","1,841.00",4.28M,-1.22%
"Jan 07, 2019","1,897.90","1,891.80","1,908.80","1,881.00",1.86M,1.12%
"Jan 08, 2019","1,893.55","1,905.40","1,906.40","1,883.30",1.69M,-0.23%
"Jan 09, 2019","1,886.95","1,907.40","1,919.00","1,866.70",2.41M,-0.35%
"Jan 10, 2019","1,888.55","1,890.00","1,905.00","1,872.10",3.05M,0.08%
"Jan 11, 2019","1,842.55","1,870.00","1,875.00","1,835.00",9.21M,-2.44%
"Jan 14, 2019","1,813.25","1,850.00","1,851.00","1,810.00",3.62M,-1.59%
"Jan 15, 2019","1,867.80","1,810.00","1,869.35","1,808.00",7.71M,3.01%
"Jan 16, 2019","1,870.15","1,870.00","1,875.00","1,847.00",2.36M,0.13%
"Jan 17, 2019","1,894.30","1,878.00","1,898.00","1,871.30",2.63M,1.29%
"Jan 18, 2019","1,900.65","1,881.00","1,904.20","1,876.00",1.68M,0.34%
"Jan 21, 2019","1,908.70","1,902.00","1,932.00","1,895.45",2.41M,0.42%
"Jan 22, 2019","1,901.90","1,907.10","1,918.25","1,890.00",2.46M,-0.36%
"Jan 23, 2019","1,875.60","1,901.00","1,906.10","1,870.00",2.58M,-1.38%
"Jan 24, 2019","1,901.55","1,884.80","1,905.25","1,875.00",1.96M,1.38%
"Jan 25, 2019","1,920.80","1,902.00","1,935.00","1,901.00",2.33M,1.01%
"Jan 28, 2019","1,955.00","1,933.00","1,962.00","1,925.50",2.77M,1.78%
"Jan 29, 2019","1,982.75","1,962.00","1,989.05","1,936.65",2.56M,1.42%
"Jan 30, 2019","1,981.40","1,979.60","1,989.50","1,954.65",2.43M,-0.07%
"Jan 31, 2019","2,014.10","1,987.00","2,019.75","1,985.00",4.09M,1.65%
